,sector,pair,ETF1,ETF2,adf_stat,p_value
0,Communication Services,IYZ & VOX,IYZ,VOX,-1.1766943795164586,0.8638983000779092
1,Communication Services,IYZ & XLC,IYZ,XLC,-0.4730004192627038,0.9661991301940963
2,Communication Services,VOX & XLC,VOX,XLC,-0.3286692607540717,0.9745208802722313
3,Consumer Discretionary,IYC & VCR,IYC,VCR,-2.424044988806835,0.3135528956414676
4,Consumer Discretionary,XLY & IYC,XLY,IYC,-2.2344609709487226,0.40667039984529935
5,Consumer Discretionary,XLY & VCR,XLY,VCR,-1.7667579621650105,0.6457238721899341
6,Consumer Discretionary,XLY & XHB,XLY,XHB,-1.6498063674438168,0.6994170246941451
7,Consumer Discretionary,IYC & XHB,IYC,XHB,-1.329519737009804,0.8206503714205771
8,Consumer Discretionary,VCR & XHB,VCR,XHB,-1.3278931577368844,0.8211602542639124
9,Consumer Staples,XLP & IYK,XLP,IYK,-3.308173340373579,0.05362234885265157
10,Consumer Staples,IYK & VDC,IYK,VDC,-3.130952701282564,0.08225360048806135
11,Consumer Staples,XLP & VDC,XLP,VDC,-1.8834735814418329,0.588364792209117
12,Energy,XLE & VDE,XLE,VDE,-2.9198990419432373,0.13049393698847694
13,Energy,IYE & VDE,IYE,VDE,-2.77195999226523,0.17476963259945272
14,Energy,XLE & IYE,XLE,IYE,-2.4956685289247362,0.2809826703652462
15,Energy,XOP & AMLP,XOP,AMLP,-2.398138092110823,0.32573733483178957
16,Energy,VDE & AMLP,VDE,AMLP,-2.3601040604573607,0.34397570015365964
17,Energy,IYE & AMLP,IYE,AMLP,-2.3385010073233423,0.3545066362720159
18,Energy,IYE & XOP,IYE,XOP,-2.3195125874074023,0.3638576539671896
19,Energy,AMLP & OIH,AMLP,OIH,-2.305663332855577,0.370730258745706
20,Energy,XLE & AMLP,XLE,AMLP,-2.277833440509589,0.3846642818414232
21,Energy,VDE & XOP,VDE,XOP,-2.0766885553204038,0.48855651436059305
22,Energy,XLE & XOP,XLE,XOP,-1.9672450149739855,0.5455568390559759
23,Energy,XLE & OIH,XLE,OIH,-1.8558510963976866,0.6022185175218474
24,Energy,XOP & OIH,XOP,OIH,-1.8313030230442155,0.6143962394975462
