,sector,pair,ETF1,ETF2,adf_stat,p_value
0,Consumer Discretionary,XLY & VCR,XLY,VCR,-3.60558603504075,0.024114347214462428
1,Financials,XLF & VFH,XLF,VFH,-3.5346720148566484,0.02944309149117466
2,Financials,IYF & VFH,IYF,VFH,-3.353435534645897,0.04779197868260026
3,Industrials,IYJ & VIS,IYJ,VIS,-3.459172203396697,0.036190401954855955
4,Information Technology,XLK & VGT,XLK,VGT,-3.539117519375904,0.029081705683995
5,Information Technology,FDN & IGV,FDN,IGV,-3.4743177329007455,0.03474099131484907
6,Materials,IYM & GDX,IYM,GDX,-3.7304098069398366,0.016739486682827424
7,Materials,VAW & GDX,VAW,GDX,-3.7261200530946743,0.01695564535151089
8,Materials,XLB & GDX,XLB,GDX,-3.721917743290213,0.0171697676838652
9,Real Estate,RWR & VNQ,RWR,VNQ,-3.911036767805553,0.009576991405101381
10,Utilities,IDU & VPU,IDU,VPU,-4.021373649759377,0.006693075048339606
