,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
0,FDN & IGV,short,2021-02-10,2021-07-30,119,2.0193140597908608,0.4596746663836624,0.1893855635693935,0.15577734977755675,0.032356257059409144
1,FDN & IGV,long,2021-11-30,2023-01-27,292,-2.1307243130439204,-0.47872409539267324,0.08304714125469825,-0.11369317101368637,-0.19095247338830101
2,FDN & IGV,long,2023-10-26,2023-12-07,30,-2.3357494155517315,-0.40419579645338183,-0.1851319778773446,-0.14732034106409486,0.037890410973172806
3,FDN & IGV,short,2024-02-02,2024-07-24,119,2.180800378376742,0.45693826885157973,-0.08157411761439715,-0.08269433955197236,-0.0009020456035940816
4,IDU & VPU,long,2019-09-24,2019-10-08,11,-3.918428034042945,-0.315980267182711,-0.01420220033430386,-0.005142313590490666,0.009068704203200273
5,IDU & VPU,long,2020-02-13,2020-03-03,13,-2.3815825060773803,0.44477208754428543,-0.010059294706885602,-0.005995568177450394,0.004051474490485818
6,IDU & VPU,short,2020-03-10,2020-03-26,13,4.88469679049875,0.3837133451638721,0.0005407943107860191,-0.003223795933190665,0.0034990841908613124
7,IDU & VPU,long,2020-06-16,2020-06-22,5,-2.2678834141800785,0.2800075510437489,-0.016541862022092957,-0.0033966466568378095,0.01318946403376775
8,IDU & VPU,short,2020-09-11,2020-09-24,10,3.6033865296957486,0.3400130432511562,0.004965323979368108,-0.0028606390957595096,0.00783226132045467
9,IDU & VPU,long,2020-11-10,2020-11-18,7,-2.0079387080673397,-0.36253348354709847,-0.013250611721670857,-0.006680699656351763,0.006581378093229562
10,IDU & VPU,long,2020-12-14,2020-12-17,4,-2.2611080907002097,-0.09462077305918767,-0.014232089175670204,-0.006184908903919428,0.00801348134387303
11,IDU & VPU,long,2021-03-25,2021-03-29,3,-2.062637258349249,0.4339893449573609,-0.012789431180138422,-0.007196688207304902,0.005580466349883517
12,IDU & VPU,long,2021-06-10,2021-06-21,8,-5.314865185426111,0.13943474662210517,-0.015861132170161163,-0.007912723507893737,0.007954194522522329
13,IDU & VPU,short,2021-10-01,2021-10-04,2,2.1086988727998666,0.42996750129791345,-0.004296217969389282,-0.008335499994427842,0.004039282025038338
14,IDU & VPU,short,2021-10-11,2021-12-03,39,2.1310896253801634,0.18782949182248432,-0.0039994894387627156,-0.007384286679605445,0.003367514233659108
15,IDU & VPU,long,2021-12-13,2022-04-26,93,-2.827191757589718,-0.12507807371988033,-0.016280623505411818,-0.015585838552756748,0.0005803008088103301
16,IDU & VPU,long,2022-06-09,2022-06-24,11,-3.04386207025788,0.3236992769138675,-0.026707650334285127,-0.01742750302103424,0.009287160155122987
17,IDU & VPU,short,2022-09-28,2022-10-28,23,2.998184773404224,0.47876087983443205,-0.005309094715947538,-0.010757595626382788,0.005432570583210117
18,IDU & VPU,short,2023-04-28,2023-06-07,28,2.3369214426904907,0.04522577215584047,-0.004252783612531452,-0.009615293556983318,0.005335101911131845
19,IDU & VPU,short,2023-06-29,2023-09-26,62,3.2763459939079596,-0.05160792054611903,0.007463087422025616,0.0010176951446574378,0.006412153009851762
